Ticker,SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,EBITDA,Total Debt,Free Cash Flow,Gross Profit Margin,Operating Margin,Net Profit Margin,Return on Equity,Return on Assets,Free Cash Flow to Net Income,Current Ratio,Liabilities to Equity Ratio,Debt Ratio,"Earnings Per Share, Basic","Earnings Per Share, Diluted",Sales Per Share,Equity Per Share,Free Cash Flow Per Share,Dividends Per Share,Pietroski F-Score
IBKC,129297,USD,2020,Q1,2020-05-08,2020-05-08,446327000.0,1678919000.0,-1673198000.0,,0.34863,0.24974000000000002,0.07013,0.00946,-5.488519999999999,,6.41642,0.052079999999999994,5.83157,5.79931,23.350360000000002,78.78534,-32.0067,2.49382,
IBKR,718957,USD,2020,Q4,2021-03-01,2021-03-01,1298000000.0,10109000000.0,8098000000.0,,0.56628,0.08792,0.02166,0.0020399999999999997,41.528209999999994,,9.627460000000001,0.10565999999999999,2.43935,2.41819,27.746059999999996,24.40602,101.30188000000001,3.94049,
IBOC,369401,USD,2020,Q4,2021-02-25,2021-02-25,240076000.0,999117000.0,306072000.0,,0.39326,0.31073,0.07682,0.01193,1.8292700000000002,,5.44145,0.07122,2.62561,2.62037,8.449760000000001,34.177640000000004,4.80295,1.09733,
ISBC,641029,USD,2020,Q4,2021-03-01,2021-03-01,343460000.0,3411519000.0,-267710000.0,,0.39284,0.27148,0.08176,0.00851,-1.2081899999999999,,8.60263,0.1311,0.93985,0.9395399999999999,3.46199,11.49468,-1.13551,0.50761,
JPM,243510,USD,2020,Q4,2021-02-23,2021-02-23,44021000000.0,712283000000.0,,,0.29619,0.22929000000000002,0.09812,0.00809,,,11.121080000000001,0.21036,8.89242,8.87802,38.78244,80.87562,,4.1169199999999995,
JUVF,141652,USD,2020,Q4,2021-03-16,2021-03-16,6435000.0,87705000.0,5255000.0,,0.21716,0.21911999999999998,0.07314,0.0070599999999999994,0.93806,,9.362260000000001,0.1105,1.10406,1.10276,5.03863,15.095979999999999,1.03567,0.8799799999999999,
KEY,378174,USD,2020,Q4,2021-02-22,2021-02-22,1667000000.0,14688000000.0,-12402000000.0,,0.23273000000000002,0.18500999999999998,0.06879,0.007259999999999999,-10.02587,,8.47311,0.08623,1.2781799999999999,1.2689700000000002,6.90857,16.616329999999998,-12.814860000000001,0.8566,
LARK,130464,USD,2020,Q4,2021-03-22,2021-03-22,26869000.0,28022000.0,-369674000.0,,0.38031,0.30533000000000005,0.15389,0.01641,-18.96445,,8.37877,0.02359,4.103940000000001,4.100169999999999,13.4409,26.668740000000003,-77.82889,0.7648699999999999,
MBFI,447767,USD,2018,Q4,2019-03-21,2019-03-21,429439000.0,1940854000.0,128609000.0,,0.27959,0.22143000000000002,0.07153,0.010740000000000001,1.30421,,5.65833,0.09605,2.57596,2.54787,11.63342,33.69984,2.36178,1.1389,
MBWM,815912,USD,2020,Q4,2021-03-05,2021-03-05,64273000.0,559928000.0,-609212000.0,,0.32761,0.26364,0.09996000000000001,0.00995,-13.802439999999999,,9.049380000000001,0.12619,2.71306,2.71296,10.29081,27.141340000000003,-37.4469,1.05208,
MCBC,745864,USD,2021,Q1,2021-04-22,2021-04-22,40890000.0,20619000.0,73097000.0,,0.44613,0.36546,0.13009,0.01153,2.31818,,10.281260000000001,0.007540000000000001,0.9235399999999999,0.9235399999999999,2.5270599999999996,7.09905,2.14094,0.31875,
MS,86439,USD,2020,Q4,2021-02-26,2021-02-26,18187000000.0,231812000000.0,-22021000000.0,,0.29914,0.21785,0.03279,0.00941,-2.09724,,2.4845900000000003,0.20774,6.5502199999999995,6.46552,30.06737,193.1441,-13.73737,1.7086700000000001,
MTB,335339,USD,2020,Q4,2021-02-22,2021-02-22,2089809000.0,4441675000.0,700368000.0,,0.29716,0.22724,0.08359,0.00949,0.51758,,7.80945,0.03115,10.51907,10.51367,46.29084,116.11873999999999,5.44449,4.946969999999999,
NAVI,551008,USD,2021,Q1,2021-04-28,2021-04-28,,81358000000.0,,,0.55508,0.41808,0.32444,0.01045,,,30.040190000000003,0.9576399999999999,4.70464,4.64314,11.25298,14.42649,,0.6410600000000001,
NKSH,129536,USD,2020,Q2,2020-08-10,2020-08-10,20602000.0,0.0,-6954000.0,,0.41348999999999997,0.34676,0.08167,0.01115,-0.4349,,6.323230000000001,0.0,2.46412,2.46412,7.10605,30.170659999999998,-1.07164,1.3901700000000001,
NTRS,407194,USD,2021,Q1,2021-04-27,2021-04-27,2322399999.0,9959100000.0,5445100000.0,,0.27268000000000003,0.19387000000000001,0.10315,0.007209999999999999,4.607069999999999,,13.30664,0.06075,5.67874,5.6607,29.29216,55.05236,26.16235,3.0183400000000002,
OPY,505723,USD,2020,Q4,2021-03-01,2021-03-01,177143000.0,674455000.0,-41448000.0,,0.14286,0.10396,0.17937,0.04532,-0.33701,,2.95804,0.24852,9.72792,9.3049,93.57167,54.23483,-3.27845,1.46948,
OZRK,135823,USD,2017,Q1,2017-05-05,2017-05-05,490852000.0,421600000.0,449255000.0,,0.6020300000000001,0.39089,0.10689000000000001,0.01605,1.46109,,5.65792,0.02201,2.74253,2.73617,7.01602,25.628239999999998,4.00708,0.61748,
PACW,537548,USD,2020,Q4,2021-02-26,2021-02-26,-1101749000.0,470812000.0,-1239826000.0,,3.75374,4.00015,-0.34425,-0.04195,1.0018200000000002,,7.20552,0.01596,-10.590860000000001,-10.590860000000001,-2.64762,30.76473,-10.61013,1.36709,
PBCT,335764,USD,2020,Q4,2021-03-01,2021-03-01,709900000.0,2157200000.0,92100000.0,,0.31401,0.10313,0.027030000000000002,0.0032600000000000003,0.44818,,7.2985,0.03419,0.48894,0.48628000000000005,4.7409,17.508210000000002,0.21913000000000002,0.75708,
PGC,726431,USD,2020,Q4,2021-03-12,2021-03-12,23959000.0,203547000.0,-198857000.0,,0.11048,0.14806,0.04969,0.00445,-7.592280000000001,,10.174719999999999,0.03456,1.38605,1.37266,9.36157,27.894740000000002,-10.5233,0.20002999999999999,
PNC,348075,USD,2020,Q4,2021-02-26,2021-02-26,4926000000.0,34174000000.0,,,0.20289000000000001,0.43098000000000003,0.13479000000000002,0.015609999999999999,,,7.63565,0.07322999999999999,17.05855,17.05855,39.5808,126.48711999999999,,5.1733,
PNFP,783539,USD,2020,Q4,2021-02-26,2021-02-26,416561000.0,1886666000.0,456931000.0,,0.32586,0.26739,0.06213,0.00872,1.49949,,6.12245,0.05401,4.04271,4.0278599999999996,15.11914,62.187630000000006,6.06198,0.65523,
PROV,998465,USD,2017,Q4,2017-09-01,2018-08-31,11456000.0,126226000.0,-1897577000.0,,0.13245,0.07823,0.04061,0.00434,-364.42807999999997,,8.36312,0.10513,0.65758,0.6429199999999999,8.40555,16.193820000000002,-239.63983,0.52018,
RF,378207,USD,2020,Q4,2021-02-24,2021-02-24,1735000000.0,3569000000.0,,,0.209,0.15763,0.054720000000000005,0.00672,,,7.138089999999999,0.02421,1.0333700000000001,1.03015,6.555789999999999,17.1585,,0.7278399999999999,
SCHW,378109,USD,2020,Q4,2021-02-24,2021-02-24,4877000000.0,117833000000.0,17383000000.0,,0.38175,0.26029,0.054279999999999995,0.00554,5.71245,,8.793239999999999,0.21463000000000002,2.12946,2.12056,8.18125,33.81875,12.16445,0.8957299999999999,
SF,1059910,USD,2020,Q3,2020-11-06,2020-11-06,618150000.0,3530089000.0,,,0.15924000000000002,0.11585,0.10450999999999999,0.01649,,,5.33867,0.13817000000000002,3.94145,3.68606,34.0229,32.70635,,0.64432,
SFBC,158885,USD,2020,Q4,2021-03-30,2021-03-30,12238000.0,12760000.0,-252819000.0,,0.32444,0.25585,0.10396,0.01037,-28.28902,,9.02026,0.01481,3.4874099999999997,3.4472099999999997,13.63081,33.40175,-98.6553,0.8085399999999999,
SIVB,708168,USD,2020,Q4,2021-03-01,2021-03-01,1842721000.0,864181000.0,2402856000.0,,0.43586,0.29807,0.14125,0.01031,2.01714,,12.6967,0.00748,23.047629999999998,22.87107,77.32285999999999,152.45356,46.490390000000005,0.33184,
SLFC,687414,USD,2021,Q1,2021-04-27,2021-04-27,1741000000.0,16789000000.0,1162000000.0,,0.3904,0.29306,0.33585,0.0522,3.65409,,5.4344,0.78877,8.27006,8.25492,28.21943,24.62407,8.570789999999999,7.093939999999999,
SRCE,767938,USD,2021,Q1,2021-04-22,2021-04-22,129057000.0,321087000.0,-210163000.0,,0.36430999999999997,0.27923000000000003,0.09952000000000001,0.0124,-2.2566900000000003,,7.02763,0.04274,3.6554800000000003,3.6554800000000003,13.09141,34.98492,-8.24927,1.16774,
STBA,347280,USD,2020,Q4,2021-03-01,2021-03-01,35231000.0,227927000.0,-425683000.0,,0.06895,0.06205,0.01822,0.00235,-20.23208,,6.766360000000001,0.025419999999999998,0.53851,0.53792,8.67938,29.55459,-10.89527,1.12487,
STI,335922,USD,2019,Q3,2019-10-31,2019-10-31,3723000000.0,28893000000.0,2211000000.0,,0.3148,0.25474,0.09237999999999999,0.010759999999999999,0.90356,,7.583489999999999,0.12708,5.49728,5.45981,21.58026,54.95935,4.9671,2.2892200000000003,
