Ticker,Date,SimFinId,Market-Cap,Price to Earnings Ratio (quarterly),Price to Earnings Ratio (ttm),Price to Sales Ratio (quarterly),Price to Sales Ratio (ttm),Price to Book Value,Price to Free Cash Flow (quarterly),Price to Free Cash Flow (ttm),Enterprise Value,EV/EBITDA,EV/Sales,EV/FCF,Book to Market Value,Operating Income/EV
SXC,2021-04-20,112269,515053979.0,-102.8788,139.52973,1.6588,0.38729,1.0306600000000001,20.57576,3.52156,1175453979.0,5.7790300000000006,0.88181,8.0181,0.97252,0.0593
SXT,2021-04-20,134902,3395594921.0,134.56059,30.93207,10.11975,2.54219,3.62417,57.946740000000005,14.36685,3898075921.0,19.269070000000003,2.9264799999999997,16.53864,0.27516,0.03916
SYF,2021-04-20,493399,23104203024.0,32.70971,17.354229999999998,7.97412,1.97331,1.83503,,,27355203024.0,12.54826,2.31608,,0.54973,0.06569
SYK,2021-04-20,105030,97221609441.0,171.07338000000001,60.688219999999994,22.79908,6.76193,7.41673,63.343990000000005,29.11505,108188609441.0,35.44843,7.53875,32.45983,0.13458,0.0207
SYMC,2021-04-20,427444,12697072139.0,72.69247,21.921529999999997,20.249229999999997,6.833139999999999,-26.33257,31.25425,-16.05406,15229072139.0,13.869829999999999,8.032210000000001,-18.87122,-0.03875,0.06113
SYNA,2021-04-20,260659,4442794607.0,89.18202,30.679409999999997,12.369769999999999,3.36792,4.899030000000001,84.25577,15.237620000000001,4721994607.0,46.11323,3.65564,16.53939,0.19987,0.01711
SYNH,2021-04-20,336622,8894129047.0,96.44866,46.07367,7.7738,2.01152,2.7397,61.85764,17.968870000000003,,,,,0.36451999999999996,
SYNT,2018-10-10,693332,3400871437.0,82.8108,19.15643,13.646429999999999,3.5296199999999995,52.62381,36.218779999999995,10.38199,3512651437.0,13.275129999999999,3.63556,10.69362,0.01906,0.07167000000000001
SYRG,2020-01-14,786501,974253120.0,32.687329999999996,4.5042599999999995,7.2629600000000005,1.4381,0.56197,,,1610050120.0,,2.3799900000000003,,1.77693,0.17207999999999998
SYRS,2021-04-20,807944,374766652.0,-9.84777,-3.33175,52.07326,18.55124,3.0920400000000003,,,266995652.0,-3.3574599999999997,17.69003,,0.24163,-0.30823
SYUT,2017-05-23,53873,342980550.0,27.46935,17.066229999999997,3.596,0.9460700000000001,2.5245,13.713270000000001,-8.87293,757378550.0,11.80232,2.07479,-19.458879999999997,0.39886,0.07217
SYY,2021-04-20,247719,40991184989.0,608.69745,-121.11786000000001,3.54345,0.89061,27.9476,576.27355,30.713520000000003,49098249989.0,51.196490000000004,1.06964,36.88747,0.03568,0.0032700000000000003
T,2021-04-20,66790,213168410895.0,-15.331010000000001,-39.84405,4.67671,1.24547,1.1935,95.73638000000001,8.62974,378240410895.0,7.030360000000001,2.20214,15.2584,0.8408399999999999,0.06685
TA,2021-04-20,133962,358738463.0,-57.6888,-19.415770000000002,0.27202,0.055689999999999996,0.42101000000000005,14.284460000000001,1.18829,401397463.0,2.89682,0.08283,1.7674900000000002,1.78676,0.02685
TACO,2021-04-20,823787,406168121.0,54.68626999999999,-4.56855,2.62019,0.8334799999999999,1.92698,45.63165,18.45975,512864121.0,10.35608,1.04265,23.09263,0.52381,0.0447
TAGG,2019-04-04,662204,,,,,,,,,,,,,,
TAP,2021-04-20,248956,10641070166.0,-8.29434,-11.977689999999999,4.95209,1.1774200000000001,0.90061,13.08184,4.581180000000001,18355570166.0,8.14608,1.9013400000000003,7.3978600000000005,1.1860899999999999,0.07253
TAST,2021-04-20,625660,297621040.0,-15.08107,-9.61177,0.668,0.183,1.04294,11.03922,3.89583,715068040.0,7.34548,0.46208,9.83709,0.9123399999999999,0.02185
TAYD,2021-04-20,338837,41792350.0,229.16792,15.836089999999999,8.75486,1.36362,0.7719699999999999,-156.96153999999999,-28.33632,24617050.0,30.76162,1.07097,-22.25505,0.97152,-0.0178
TBI,2021-04-20,108139,787079036.0,95.42706,-5.53011,1.47676,0.42483000000000004,1.7941799999999999,3.48734,13.55398,724572036.0,22.40621,0.39243,12.52025,0.5554600000000001,0.00042
TBIO,2021-04-20,941303,1487690037.0,-71.77512,-24.83059,,,3.7436199999999995,-18.61675,18.580460000000002,833662037.0,-6.11723,,11.59797,0.23981,-0.17459000000000002
TBTC,2021-04-20,263057,11221902.0,57.10366,36.4039,18.8414,2.53828,2.3803400000000003,-28.732020000000002,-70.47133000000001,9490033.0,-31.66638,2.15612,-59.86119,0.41823999999999995,-0.03614
TCBI,2021-04-20,734517,3234362834.0,,,,,,,,,,,,,
TCMD,2021-04-20,201913,1051651212.0,86.61228,-1682.24668,17.709,5.5736300000000005,8.360660000000001,-2565.1211,-70.79778,993088212.0,-1190.75325,5.30694,-67.41028,0.11862,-0.00365
TCNT,2021-04-20,658757,1420000.0,3858.69565,-161.41867,,,-55.94295,,,1380280.0,,,,-0.01788,-0.006370000000000001
TCO,2020-12-29,998405,,,,,,,,,,,,,,
TCX,2021-04-20,651784,850656553.0,410.77949,146.89416,12.00119,2.72593,8.10248,-42.61951,-44.993840000000006,964078553.0,46.84541,3.0979200000000002,-51.1339,0.12308,0.00824
TDC,2021-04-20,378223,4223750000.0,847.075,32.832359999999994,8.62602,2.30685,10.58844,-1058.84375,-162.89903999999999,4149750000.0,22.07314,2.26021,-159.60577,0.0947,0.00386
TDG,2021-04-20,378229,32580922899.0,-1416.84891,90.68372,29.41112,7.10795,-9.06593,69.93030999999999,18.04941,47700922899.0,26.82842,10.05076,25.52216,-0.11420999999999999,0.03157
