Ticker,SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Revenue,Provision for Loan Losses,Net Revenue after Provisions,Total Non-Interest Expense,Operating Income (Loss),Non-Operating Income (Loss),Pretax Income (Loss),"Income Tax (Expense) Benefit, Net",Income (Loss) from Continuing Operations,Net Extraordinary Gains (Losses),Net Income,Net Income (Common)
FNB,446814,USD,2020,Q4,2021-02-25,2021-02-25,323368639.0,325487964.0,1216000000,-123000000.0,1093000000,-750000000,343000000,,343000000,-57000000.0,286000000,,286000000,278000000
GBCI,1059909,USD,2020,Q4,2021-03-01,2021-03-01,94883864.0,94932353.0,772616000,-39765000.0,732851000,-404811000,328040000,,328040000,-61640000.0,266400000,,266400000,266400000
GS,60439,USD,2020,Q4,2021-02-22,2021-02-22,356400000.0,360300000.0,44560000000,-3098000000.0,41462000000,-28983000000,12479000000,,12479000000,-3020000000.0,9459000000,,9459000000,8915000000
HBAN,378164,USD,2020,Q4,2021-02-26,2021-02-26,1017117000.0,1032683000.0,4815000000,-1048000000.0,3767000000,-2795000000,972000000,,972000000,-155000000.0,817000000,,817000000,717000000
HBHC,734515,USD,2020,Q4,2021-03-01,2021-03-01,86533000.0,86533000.0,1266951000,-602904000.0,664047000,-788792000,-124745000,2922000.0,-124745000,79571000.0,-45174000,,-45174000,-45174000
HOMB,447371,USD,2020,Q4,2021-02-26,2021-02-26,165373000.0,165373000.0,694216000,-112264000.0,581952000,-306352000,275600000,,277703000,-63255000.0,214448000,,214448000,214448000
HTH,492790,USD,2020,Q4,2021-02-17,2021-02-17,89280000.0,89304000.0,2114646000,-96491000.0,2018155000,-1453803000,564352000,,564352000,-133071000.0,431281000,38396000.0,447836000,447836000
IBKC,129297,USD,2020,Q1,2020-05-08,2020-05-08,52276500.0,52567250.0,1220675000,-96865000.0,1123810000,-698252000,425558000,,417716000,-97267000.0,320449000,,320449000,304854000
IBKR,718957,USD,2020,Q4,2021-03-01,2021-03-01,79939289.0,80638908.0,2218000000,,2218000000,-962000000,1256000000,,1256000000,-77000000.0,1179000000,,195000000,195000000
IBOC,369401,USD,2020,Q4,2021-02-25,2021-02-25,63725819.0,63853135.0,538468000,-45379000.0,493089000,-281331000,211758000,,211758000,-44439000.0,167319000,,167319000,167319000
ISBC,641029,USD,2020,Q4,2021-03-01,2021-03-01,235761457.0,235838808.0,816204000,-70158000.0,746046000,-425407000,320639000,,296541000,-74961000.0,221580000,,221580000,221580000
JPM,243510,USD,2020,Q3,2020-11-02,2020-11-02,3097200000.0,3102750000.0,118709000000,-20796000000.0,97913000000,-67006000000,30907000000,,30907000000,-5392000000.0,25515000000,0.0,25515000000,23802000000
JUVF,141652,USD,2020,Q4,2021-03-16,2021-03-16,5074000.0,5080000.0,25566000,-721000.0,24845000,-19293000,5552000,,5552000,50000.0,5602000,,5602000,5602000
KEY,378174,USD,2020,Q4,2021-02-22,2021-02-22,967783000.0,974807000.0,6686000000,-1021000000.0,5665000000,-4109000000,1556000000,,1556000000,-227000000.0,1329000000,14000000.0,1343000000,1237000000
LARK,130464,USD,2020,Q4,2021-03-22,2021-03-22,4749830.0,4754191.0,63842000,-3300000.0,60542000,-36262000,24280000,,24280000,-4787000.0,19493000,,19493000,19493000
MBFI,447767,USD,2018,Q4,2019-03-21,2019-03-21,84277230.0,85206300.0,980432000,-47201000.0,933231000,-659110000,274121000,,252171000,-38256000.0,213915000,,213915000,217095000
MBWM,815912,USD,2020,Q4,2021-03-05,2021-03-05,16268689.0,16269319.0,167418000,-14050000.0,153368000,-98520000,54848000,,54848000,-10710000.0,44138000,,44138000,44138000
MCBC,745864,USD,2020,Q4,2021-02-18,2021-02-18,34120275.0,34120275.0,85513000,-3000000.0,82513000,-45725000,36788000,,36788000,-6623000.0,30165000,,30165000,30165000
MS,86439,USD,2020,Q4,2021-02-26,2021-02-26,1603000000.0,1624000000.0,48198000000,,48198000000,-33780000000,14418000000,,14418000000,-3239000000.0,11179000000,0.0,10996000000,10500000000
MTB,335339,USD,2020,Q4,2021-02-22,2021-02-22,128638000.0,128704000.0,5954761000,-800000000.0,5154761000,-3385240000,1769521000,12623000.0,1769521000,-416369000.0,1353152000,,1353152000,1353152000
NAVI,551008,USD,2020,Q4,2021-02-26,2021-02-26,193000000.0,195000000.0,1682000000,-155000000.0,1527000000,-964000000,563000000,,532000000,-120000000.0,412000000,0.0,412000000,412000000
NKSH,129536,USD,2020,Q2,2020-08-10,2020-08-10,6489119.0,6489119.0,46112000,-1702000.0,44410000,-25343000,19067000,,19030000,-3040000.0,15990000,,15990000,15990000
